BUS STOP ID,STOP_NAME,DESCRIPTION,LATITUDE,LONGITUDE,# BENCHES,# TRASHCANS,# SHELTERS,SHELTER_TYPE,# BIKERACKS
539,Brywood Neighborhood,Eastbound NW 16th AVE @ Farside NW 27th TER,29.66664716,-82.36248308,0,0,0,,0
541,Raintree Neighborhood,Eastbound NW 16th AVE @ Nearside NW 23rd TER,29.66665008,-82.3579352,0,0,0,,0
543,Forest Ridge Neighborhood,Eastbound NW 16th AVE @ Nearside NW 22nd ST,29.66663233,-82.35308359,0,0,0,,0
544,NW 16th Avenue @ NW 20th Way,Eastbound NW 16th AVE @ Nearside NW 20th WAY,29.6665864,-82.34780825,0,0,0,,0
545,NW 16th Ave @ NW 17th St,Eastbound NW 16th AVE @ Nearside NW 18th ST,29.66658267,-82.34455919,0,0,0,,0
546,NW 16th Ave @ NW 13th St,Eastbound NW 16th AVE @ Nearside NW 13th ST,29.66656042,-82.33985364,0,0,0,,0
553,Alachua County Library Headquarters,Northbound SE 3rd ST @ Nearside E University AVE,29.65176577,-82.32231769,1,0,0,,0
554,The Salvation Army,Eastbound E University AVE @ Nearside E 7th ST,29.6518481,-82.31825119,1,1,0,,0
555,E University Avenue @ SE 8th Street,Eastbound E University AVE @ Nearside SE 8th ST,29.65184877,-82.31631819,1,0,0,,0
556,NE 9th Street @ E University Avenue,Northbound NE 9th ST @ Farside E University AVE,29.65240177,-82.31465786,1,1,0,,0
557,NE 9th Street @ NE 3rd Avenue,Northbound NE 9th ST @ Farside NE 3rd AVE,29.65420459,-82.31468404,1,1,0,,0
558,NE 9th Street @ NE 5th Avenue,Northbound NE 9th ST @ Nearside NE 5th AVE,29.65560385,-82.31470207,0,0,0,,0
560,NE 9th Street @ NE 8th Avenue,Northbound NE 9th ST @ Nearside NE 8th AVE,29.65898662,-82.3147046,0,0,0,,0
561,NE 8th Avenue @ NE 11th Street,Eastbound NE 8th AVE @ Farside NE 11th ST,29.6592805,-82.31152368,0,0,0,,0
562,Sunny Food Mart,Eastbound NE 8th AVE @ Nearside NE 12th ST,29.65927105,-82.31029077,1,1,0,,0
563,Martin Luther King Center and Citizens Field,Eastbound NE 8th AVE @ Farside NE 13th ST,29.65926146,-82.30821333,0,0,0,,0
564,Martin Luther King Center and Citizens Field,Northbound Waldo RD @ Farside NE 8th AVE,29.66012176,-82.30593724,0,0,0,,0
568,Mount Zion Church of God,Southbound NE 19th ST @ Nearside NE 8th AVE,29.659754,-82.299933,1,1,1,Metal,0
569,Duval Elementary School,Eastbound NE 8th AVE @ Farside NE 20th ST,29.6591796,-82.29821669,1,1,1,Metal,0
570,Eastbound NE 8th Avenue @ NE 22nd Street,Eastbound NE 8th AVE @ Nearside NE 22nd ST,29.65918177,-82.29602286,0,0,0,,0
571,Northbound NE 24th Street @ NE 8th Avenue,Eastbound NE 8th AVE @ Nearside NE 24th ST,29.65916093,-82.29379536,0,0,0,,0
578,Southbound NE 25th Street @ NE 8th Avenue,Southbound NE 25th ST @ Nearside NE 8th AVE,29.65884141,-82.29238931,1,1,0,,0
579,Southbound NE 25th Street @ NE 6th Avenue,Southbound NE 25th ST @ Nearside NE 6th AVE,29.6567046,-82.29242336,1,1,0,,0
581,Southbound NE 25th Street @ NE 3rd Place,Southbound NE 25th ST @ Nearside NE 3rd PL,29.6543946,-82.29240753,1,1,0,,0
585,East University Ave @ SE 25th Ter,Eastbound E University AVE @ Farside SE 25th TER,29.6517862,-82.2912556,0,0,0,,0
586,Lake Road Community and Cone Park Branch Library,Eastbound E University AVE @ Farside SE 26th TER,29.65174977,-82.28943136,1,0,0,,0
587,Eastside Community Center at Fred Cone Park,Eastbound E University AVE @ Farside SE 27th ST,29.65176827,-82.28766953,1,1,0,,0
588,Morningside Nature Center Eastbound,Eastbound E University AVE @ Nearside SE SE 38th *,29.6517731,-82.28011987,0,0,0,,0
